Year,Stage,Jury or Televoting,From country,To country,Points
1975,f,J,Monaco,France,7
1975,f,J,Monaco,Germany,0
1975,f,J,Monaco,Ireland,0
1975,f,J,Monaco,Israel,0
1975,f,J,Monaco,Italy,1
1975,f,J,Monaco,Luxembourg,0
1975,f,J,Monaco,Malta,0
1975,f,J,Monaco,Monaco,0
1975,f,J,Monaco,Norway,2
1975,f,J,Monaco,Portugal,0
1975,f,J,Monaco,Spain,4
1975,f,J,Monaco,Sweden,6
1975,f,J,Monaco,Switzerland,5
1975,f,J,Monaco,The Netherlands,10
1975,f,J,Monaco,Turkey,3
1975,f,J,Monaco,United Kingdom,12
1975,f,J,Monaco,Yugoslavia,0
1975,f,J,Norway,Belgium,0
1975,f,J,Norway,Finland,10
1975,f,J,Norway,France,0
1975,f,J,Norway,Germany,0
1975,f,J,Norway,Ireland,4
1975,f,J,Norway,Israel,5
1975,f,J,Norway,Italy,6
1975,f,J,Norway,Luxembourg,0
1975,f,J,Norway,Malta,2
1975,f,J,Norway,Monaco,0
1975,f,J,Norway,Norway,0
1975,f,J,Norway,Portugal,0
1975,f,J,Norway,Spain,3
1975,f,J,Norway,Sweden,8
1975,f,J,Norway,Switzerland,1
1975,f,J,Norway,The Netherlands,12
1975,f,J,Norway,Turkey,0
1975,f,J,Norway,United Kingdom,7
1975,f,J,Norway,Yugoslavia,0
1975,f,J,Portugal,Belgium,0
1975,f,J,Portugal,Finland,0
1975,f,J,Portugal,France,12
1975,f,J,Portugal,Germany,0
1975,f,J,Portugal,Ireland,4
1975,f,J,Portugal,Israel,0
1975,f,J,Portugal,Italy,10
1975,f,J,Portugal,Luxembourg,8
1975,f,J,Portugal,Malta,0
1975,f,J,Portugal,Monaco,3
1975,f,J,Portugal,Norway,0
1975,f,J,Portugal,Portugal,0
1975,f,J,Portugal,Spain,0
1975,f,J,Portugal,Sweden,6
1975,f,J,Portugal,Switzerland,2
1975,f,J,Portugal,The Netherlands,7
1975,f,J,Portugal,Turkey,0
1975,f,J,Portugal,United Kingdom,5
1975,f,J,Portugal,Yugoslavia,1
1975,f,J,Spain,Belgium,0
1975,f,J,Spain,Finland,1
1975,f,J,Spain,France,8
1975,f,J,Spain,Germany,4
1975,f,J,Spain,Ireland,3
1975,f,J,Spain,Israel,0
1975,f,J,Spain,Italy,7
1975,f,J,Spain,Luxembourg,6
1975,f,J,Spain,Malta,0
1975,f,J,Spain,Monaco,0
1975,f,J,Spain,Norway,0
1975,f,J,Spain,Portugal,2
1975,f,J,Spain,Spain,0
1975,f,J,Spain,Sweden,5
1975,f,J,Spain,Switzerland,0
1975,f,J,Spain,The Netherlands,12
1975,f,J,Spain,Turkey,0
1975,f,J,Spain,United Kingdom,10
1975,f,J,Spain,Yugoslavia,0
1975,f,J,Sweden,Belgium,2
1975,f,J,Sweden,Finland,3
1975,f,J,Sweden,France,8
1975,f,J,Sweden,Germany,0
1975,f,J,Sweden,Ireland,10
1975,f,J,Sweden,Israel,6
1975,f,J,Sweden,Italy,1
1975,f,J,Sweden,Luxembourg,4
1975,f,J,Sweden,Malta,0
1975,f,J,Sweden,Monaco,0
1975,f,J,Sweden,Norway,0
1975,f,J,Sweden,Portugal,0
1975,f,J,Sweden,Spain,0
1975,f,J,Sweden,Sweden,0
1975,f,J,Sweden,Switzerland,0
1975,f,J,Sweden,The Netherlands,12
1975,f,J,Sweden,Turkey,0
1975,f,J,Sweden,United Kingdom,5
1975,f,J,Sweden,Yugoslavia,7
1975,f,J,Switzerland,Belgium,0
1975,f,J,Switzerland,Finland,12
1975,f,J,Switzerland,France,3
1975,f,J,Switzerland,Germany,0
1975,f,J,Switzerland,Ireland,7
1975,f,J,Switzerland,Israel,2
1975,f,J,Switzerland,Italy,10
1975,f,J,Switzerland,Luxembourg,0
1975,f,J,Switzerland,Malta,4
1975,f,J,Switzerland,Monaco,0
1975,f,J,Switzerland,Norway,0
1975,f,J,Switzerland,Portugal,0
1975,f,J,Switzerland,Spain,5
1975,f,J,Switzerland,Sweden,1
1975,f,J,Switzerland,Switzerland,0
1975,f,J,Switzerland,The Netherlands,6
1975,f,J,Switzerland,Turkey,0
1975,f,J,Switzerland,United Kingdom,8
1975,f,J,Switzerland,Yugoslavia,0
1975,f,J,The Netherlands,Belgium,5
1975,f,J,The Netherlands,Finland,0
1975,f,J,The Netherlands,France,8
1975,f,J,The Netherlands,Germany,0
1975,f,J,The Netherlands,Ireland,6
1975,f,J,The Netherlands,Israel,10
1975,f,J,The Netherlands,Italy,0
1975,f,J,The Netherlands,Luxembourg,12
1975,f,J,The Netherlands,Malta,1
1975,f,J,The Netherlands,Monaco,0
1975,f,J,The Netherlands,Norway,2
1975,f,J,The Netherlands,Portugal,0
1975,f,J,The Netherlands,Spain,0
1975,f,J,The Netherlands,Sweden,0
1975,f,J,The Netherlands,Switzerland,7
1975,f,J,The Netherlands,The Netherlands,0
1975,f,J,The Netherlands,Turkey,0
1975,f,J,The Netherlands,United Kingdom,4
1975,f,J,The Netherlands,Yugoslavia,3
1975,f,J,Turkey,Belgium,0
1975,f,J,Turkey,Finland,0
1975,f,J,Turkey,France,1
1975,f,J,Turkey,Germany,0
1975,f,J,Turkey,Ireland,0
1975,f,J,Turkey,Israel,6
1975,f,J,Turkey,Italy,10
1975,f,J,Turkey,Luxembourg,5
1975,f,J,Turkey,Malta,2
1975,f,J,Turkey,Monaco,0
1975,f,J,Turkey,Norway,0
1975,f,J,Turkey,Portugal,12
1975,f,J,Turkey,Spain,3
1975,f,J,Turkey,Sweden,8
1975,f,J,Turkey,Switzerland,7
1975,f,J,Turkey,The Netherlands,4
1975,f,J,Turkey,Turkey,0
1975,f,J,Turkey,United Kingdom,0
1975,f,J,Turkey,Yugoslavia,0
1975,f,J,United Kingdom,Belgium,0
1975,f,J,United Kingdom,Finland,4
1975,f,J,United Kingdom,France,8
1975,f,J,United Kingdom,Germany,0
1975,f,J,United Kingdom,Ireland,6
1975,f,J,United Kingdom,Israel,1
1975,f,J,United Kingdom,Italy,10
1975,f,J,United Kingdom,Luxembourg,3
1975,f,J,United Kingdom,Malta,0
1975,f,J,United Kingdom,Monaco,2
1975,f,J,United Kingdom,Norway,0
1975,f,J,United Kingdom,Portugal,0
1975,f,J,United Kingdom,Spain,0
1975,f,J,United Kingdom,Sweden,7
1975,f,J,United Kingdom,Switzerland,5
1975,f,J,United Kingdom,The Netherlands,12
1975,f,J,United Kingdom,Turkey,0
1975,f,J,United Kingdom,United Kingdom,0
1975,f,J,United Kingdom,Yugoslavia,0
1975,f,J,Yugoslavia,Belgium,3
1975,f,J,Yugoslavia,Finland,5
1975,f,J,Yugoslavia,France,0
1975,f,J,Yugoslavia,Germany,0
1975,f,J,Yugoslavia,Ireland,1
1975,f,J,Yugoslavia,Israel,0
1975,f,J,Yugoslavia,Italy,10
1975,f,J,Yugoslavia,Luxembourg,7
1975,f,J,Yugoslavia,Malta,2
1975,f,J,Yugoslavia,Monaco,0
1975,f,J,Yugoslavia,Norway,0
1975,f,J,Yugoslavia,Portugal,0
1975,f,J,Yugoslavia,Spain,4
1975,f,J,Yugoslavia,Sweden,6
1975,f,J,Yugoslavia,Switzerland,0
1975,f,J,Yugoslavia,The Netherlands,8
1975,f,J,Yugoslavia,Turkey,0
1975,f,J,Yugoslavia,United Kingdom,12
1975,f,J,Yugoslavia,Yugoslavia,0
1976,f,J,Austria,Austria,0
1976,f,J,Austria,Belgium,3
1976,f,J,Austria,Finland,7
1976,f,J,Austria,France,12
1976,f,J,Austria,Germany,0
1976,f,J,Austria,Greece,0
1976,f,J,Austria,Ireland,2
1976,f,J,Austria,Israel,6
1976,f,J,Austria,Italy,1
1976,f,J,Austria,Luxembourg,0
1976,f,J,Austria,Monaco,5
1976,f,J,Austria,Norway,0
1976,f,J,Austria,Portugal,0
1976,f,J,Austria,Spain,0
1976,f,J,Austria,Switzerland,8
1976,f,J,Austria,The Netherlands,4
1976,f,J,Austria,United Kingdom,10
1976,f,J,Austria,Yugoslavia,0
1976,f,J,Belgium,Austria,3
1976,f,J,Belgium,Belgium,0
1976,f,J,Belgium,Finland,0
1976,f,J,Belgium,France,10
1976,f,J,Belgium,Germany,1
1976,f,J,Belgium,Greece,2
1976,f,J,Belgium,Ireland,0
1976,f,J,Belgium,Israel,5
1976,f,J,Belgium,Italy,0
1976,f,J,Belgium,Luxembourg,6
1976,f,J,Belgium,Monaco,8
1976,f,J,Belgium,Norway,0
1976,f,J,Belgium,Portugal,0
1976,f,J,Belgium,Spain,0
1976,f,J,Belgium,Switzerland,7
1976,f,J,Belgium,The Netherlands,4
1976,f,J,Belgium,United Kingdom,12
1976,f,J,Belgium,Yugoslavia,0
1976,f,J,Finland,Austria,5
1976,f,J,Finland,Belgium,12
1976,f,J,Finland,Finland,0
1976,f,J,Finland,France,3
1976,f,J,Finland,Germany,0
1976,f,J,Finland,Greece,4
1976,f,J,Finland,Ireland,0
1976,f,J,Finland,Israel,8
1976,f,J,Finland,Italy,6
1976,f,J,Finland,Luxembourg,0
1976,f,J,Finland,Monaco,2
1976,f,J,Finland,Norway,0
1976,f,J,Finland,Portugal,1
1976,f,J,Finland,Spain,0
1976,f,J,Finland,Switzerland,7
1976,f,J,Finland,The Netherlands,0
1976,f,J,Finland,United Kingdom,10
1976,f,J,Finland,Yugoslavia,0
1976,f,J,France,Austria,0
1976,f,J,France,Belgium,5
1976,f,J,France,Finland,0
1976,f,J,France,France,0
1976,f,J,France,Germany,2
1976,f,J,France,Greece,8
1976,f,J,France,Ireland,3
1976,f,J,France,Israel,0
1976,f,J,France,Italy,10
1976,f,J,France,Luxembourg,0
1976,f,J,France,Monaco,0
1976,f,J,France,Norway,0
1976,f,J,France,Portugal,12
1976,f,J,France,Spain,1
1976,f,J,France,Switzerland,6
1976,f,J,France,The Netherlands,0
1976,f,J,France,United Kingdom,7
1976,f,J,France,Yugoslavia,4
1976,f,J,Germany,Austria,10
1976,f,J,Germany,Belgium,0
1976,f,J,Germany,Finland,6
1976,f,J,Germany,France,12
1976,f,J,Germany,Germany,0
1976,f,J,Germany,Greece,0
1976,f,J,Germany,Ireland,1
1976,f,J,Germany,Israel,3
1976,f,J,Germany,Italy,0
1976,f,J,Germany,Luxembourg,0
1976,f,J,Germany,Monaco,7
1976,f,J,Germany,Norway,0
1976,f,J,Germany,Portugal,0
1976,f,J,Germany,Spain,0
1976,f,J,Germany,Switzerland,5
1976,f,J,Germany,The Netherlands,4
1976,f,J,Germany,United Kingdom,8
1976,f,J,Germany,Yugoslavia,2
1976,f,J,Greece,Austria,6
1976,f,J,Greece,Belgium,0
1976,f,J,Greece,Finland,0
1976,f,J,Greece,France,5
1976,f,J,Greece,Germany,0
1976,f,J,Greece,Greece,0
1976,f,J,Greece,Ireland,8
1976,f,J,Greece,Israel,0
1976,f,J,Greece,Italy,10
1976,f,J,Greece,Luxembourg,0
1976,f,J,Greece,Monaco,0
1976,f,J,Greece,Norway,0
1976,f,J,Greece,Portugal,4
1976,f,J,Greece,Spain,1
1976,f,J,Greece,Switzerland,2
1976,f,J,Greece,The Netherlands,7
1976,f,J,Greece,United Kingdom,12
1976,f,J,Greece,Yugoslavia,3
1976,f,J,Ireland,Austria,10
1976,f,J,Ireland,Belgium,0
1976,f,J,Ireland,Finland,5
1976,f,J,Ireland,France,7
1976,f,J,Ireland,Germany,0
1976,f,J,Ireland,Greece,0
1976,f,J,Ireland,Ireland,0
1976,f,J,Ireland,Israel,4
1976,f,J,Ireland,Italy,12
1976,f,J,Ireland,Luxembourg,6
1976,f,J,Ireland,Monaco,8
1976,f,J,Ireland,Norway,0
1976,f,J,Ireland,Portugal,0
1976,f,J,Ireland,Spain,0
1976,f,J,Ireland,Switzerland,1
1976,f,J,Ireland,The Netherlands,2
1976,f,J,Ireland,United Kingdom,3
1976,f,J,Ireland,Yugoslavia,0
1976,f,J,Israel,Austria,10
1976,f,J,Israel,Belgium,1
1976,f,J,Israel,Finland,6
1976,f,J,Israel,France,5
1976,f,J,Israel,Germany,0
1976,f,J,Israel,Greece,0
1976,f,J,Israel,Ireland,3
1976,f,J,Israel,Israel,0
1976,f,J,Israel,Italy,2
1976,f,J,Israel,Luxembourg,0
1976,f,J,Israel,Monaco,7
1976,f,J,Israel,Norway,0
1976,f,J,Israel,Portugal,0
1976,f,J,Israel,Spain,0
1976,f,J,Israel,Switzerland,4
1976,f,J,Israel,The Netherlands,8
1976,f,J,Israel,United Kingdom,12
1976,f,J,Israel,Yugoslavia,0
1976,f,J,Italy,Austria,0
1976,f,J,Italy,Belgium,8
1976,f,J,Italy,Finland,0
1976,f,J,Italy,France,6
1976,f,J,Italy,Germany,0
1976,f,J,Italy,Greece,5
1976,f,J,Italy,Ireland,12
1976,f,J,Italy,Israel,10
1976,f,J,Italy,Italy,0
1976,f,J,Italy,Luxembourg,0
1976,f,J,Italy,Monaco,7
1976,f,J,Italy,Norway,0
1976,f,J,Italy,Portugal,1
1976,f,J,Italy,Spain,3
1976,f,J,Italy,Switzerland,0
1976,f,J,Italy,The Netherlands,2
1976,f,J,Italy,United Kingdom,4
1976,f,J,Italy,Yugoslavia,0
1976,f,J,Luxembourg,Austria,5
1976,f,J,Luxembourg,Belgium,0
1976,f,J,Luxembourg,Finland,0
1976,f,J,Luxembourg,France,10
1976,f,J,Luxembourg,Germany,2
1976,f,J,Luxembourg,Greece,0
1976,f,J,Luxembourg,Ireland,3
1976,f,J,Luxembourg,Israel,7
1976,f,J,Luxembourg,Italy,0
1976,f,J,Luxembourg,Luxembourg,0
1976,f,J,Luxembourg,Monaco,12
1976,f,J,Luxembourg,Norway,0
1976,f,J,Luxembourg,Portugal,6
1976,f,J,Luxembourg,Spain,0
1976,f,J,Luxembourg,Switzerland,1
1976,f,J,Luxembourg,The Netherlands,4
1976,f,J,Luxembourg,United Kingdom,8
1976,f,J,Luxembourg,Yugoslavia,0
1976,f,J,Monaco,Austria,5
1976,f,J,Monaco,Belgium,8
1976,f,J,Monaco,Finland,7
1976,f,J,Monaco,France,12
1976,f,J,Monaco,Germany,0
1976,f,J,Monaco,Greece,0
1976,f,J,Monaco,Ireland,6
1976,f,J,Monaco,Israel,1
1976,f,J,Monaco,Italy,0
1976,f,J,Monaco,Luxembourg,0
1976,f,J,Monaco,Monaco,0
1976,f,J,Monaco,Norway,0
1976,f,J,Monaco,Portugal,0
1976,f,J,Monaco,Spain,3
1976,f,J,Monaco,Switzerland,4
1976,f,J,Monaco,The Netherlands,2
1976,f,J,Monaco,United Kingdom,10
1976,f,J,Monaco,Yugoslavia,0
1976,f,J,Norway,Austria,2
1976,f,J,Norway,Belgium,6
1976,f,J,Norway,Finland,4
1976,f,J,Norway,France,8
1976,f,J,Norway,Germany,0
1976,f,J,Norway,Greece,0
1976,f,J,Norway,Ireland,0
1976,f,J,Norway,Israel,7
1976,f,J,Norway,Italy,3
1976,f,J,Norway,Luxembourg,0
1976,f,J,Norway,Monaco,5
1976,f,J,Norway,Norway,0
1976,f,J,Norway,Portugal,0
1976,f,J,Norway,Spain,0
1976,f,J,Norway,Switzerland,10
1976,f,J,Norway,The Netherlands,1
1976,f,J,Norway,United Kingdom,12
1976,f,J,Norway,Yugoslavia,0
1976,f,J,Portugal,Austria,0
1976,f,J,Portugal,Belgium,8
1976,f,J,Portugal,Finland,0
1976,f,J,Portugal,France,5
1976,f,J,Portugal,Germany,0
1976,f,J,Portugal,Greece,1
1976,f,J,Portugal,Ireland,0
1976,f,J,Portugal,Israel,2
1976,f,J,Portugal,Italy,10
1976,f,J,Portugal,Luxembourg,0
1976,f,J,Portugal,Monaco,3
1976,f,J,Portugal,Norway,4
1976,f,J,Portugal,Portugal,0
1976,f,J,Portugal,Spain,0
1976,f,J,Portugal,Switzerland,7
1976,f,J,Portugal,The Netherlands,6
1976,f,J,Portugal,United Kingdom,12
1976,f,J,Portugal,Yugoslavia,0
1976,f,J,Spain,Austria,8
1976,f,J,Spain,Belgium,0
1976,f,J,Spain,Finland,6
1976,f,J,Spain,France,10
1976,f,J,Spain,Germany,2
1976,f,J,Spain,Greece,0
1976,f,J,Spain,Ireland,5
1976,f,J,Spain,Israel,1
1976,f,J,Spain,Italy,0
1976,f,J,Spain,Luxembourg,0
1976,f,J,Spain,Monaco,7
1976,f,J,Spain,Norway,0
1976,f,J,Spain,Portugal,0
1976,f,J,Spain,Spain,0
1976,f,J,Spain,Switzerland,4
1976,f,J,Spain,The Netherlands,3
1976,f,J,Spain,United Kingdom,12
1976,f,J,Spain,Yugoslavia,0
1976,f,J,Switzerland,Austria,3
1976,f,J,Switzerland,Belgium,6
1976,f,J,Switzerland,Finland,0
1976,f,J,Switzerland,France,10
1976,f,J,Switzerland,Germany,2
1976,f,J,Switzerland,Greece,0
1976,f,J,Switzerland,Ireland,0
1976,f,J,Switzerland,Israel,7
1976,f,J,Switzerland,Italy,8
1976,f,J,Switzerland,Luxembourg,0
1976,f,J,Switzerland,Monaco,5
1976,f,J,Switzerland,Norway,0
1976,f,J,Switzerland,Portugal,0
1976,f,J,Switzerland,Spain,0
1976,f,J,Switzerland,Switzerland,0
1976,f,J,Switzerland,The Netherlands,4
1976,f,J,Switzerland,United Kingdom,12
1976,f,J,Switzerland,Yugoslavia,1
1976,f,J,The Netherlands,Austria,7
1976,f,J,The Netherlands,Belgium,4
1976,f,J,The Netherlands,Finland,1
1976,f,J,The Netherlands,France,12
1976,f,J,The Netherlands,Germany,0
1976,f,J,The Netherlands,Greece,0
1976,f,J,The Netherlands,Ireland,0
1976,f,J,The Netherlands,Israel,2
1976,f,J,The Netherlands,Italy,0
1976,f,J,The Netherlands,Luxembourg,5
1976,f,J,The Netherlands,Monaco,8
1976,f,J,The Netherlands,Norway,3
1976,f,J,The Netherlands,Portugal,0
1976,f,J,The Netherlands,Spain,0
1976,f,J,The Netherlands,Switzerland,6
1976,f,J,The Netherlands,The Netherlands,0
1976,f,J,The Netherlands,United Kingdom,10
1976,f,J,The Netherlands,Yugoslavia,0
1976,f,J,United Kingdom,Austria,4
1976,f,J,United Kingdom,Belgium,7
1976,f,J,United Kingdom,Finland,2
1976,f,J,United Kingdom,France,8
1976,f,J,United Kingdom,Germany,0
1976,f,J,United Kingdom,Greece,0
1976,f,J,United Kingdom,Ireland,10
1976,f,J,United Kingdom,Israel,6
1976,f,J,United Kingdom,Italy,1
1976,f,J,United Kingdom,Luxembourg,0
1976,f,J,United Kingdom,Monaco,5
1976,f,J,United Kingdom,Norway,0
1976,f,J,United Kingdom,Portugal,0
1976,f,J,United Kingdom,Spain,3
1976,f,J,United Kingdom,Switzerland,12
1976,f,J,United Kingdom,The Netherlands,0
1976,f,J,United Kingdom,United Kingdom,0
1976,f,J,United Kingdom,Yugoslavia,0
1976,f,J,Yugoslavia,Austria,2
1976,f,J,Yugoslavia,Belgium,0
1976,f,J,Yugoslavia,Finland,0
1976,f,J,Yugoslavia,France,12
1976,f,J,Yugoslavia,Germany,3
1976,f,J,Yugoslavia,Greece,0
1976,f,J,Yugoslavia,Ireland,1
1976,f,J,Yugoslavia,Israel,8
1976,f,J,Yugoslavia,Italy,6
1976,f,J,Yugoslavia,Luxembourg,0
1976,f,J,Yugoslavia,Monaco,4
1976,f,J,Yugoslavia,Norway,0
1976,f,J,Yugoslavia,Portugal,0
1976,f,J,Yugoslavia,Spain,0
1976,f,J,Yugoslavia,Switzerland,7
1976,f,J,Yugoslavia,The Netherlands,5
1976,f,J,Yugoslavia,United Kingdom,10
1976,f,J,Yugoslavia,Yugoslavia,0
1977,f,J,Austria,Austria,0
1977,f,J,Austria,Belgium,0
1977,f,J,Austria,Finland,6
1977,f,J,Austria,France,7
1977,f,J,Austria,Germany,2
1977,f,J,Austria,Greece,4
1977,f,J,Austria,Ireland,5
1977,f,J,Austria,Israel,3
1977,f,J,Austria,Italy,0
1977,f,J,Austria,Luxembourg,0
1977,f,J,Austria,Monaco,8
1977,f,J,Austria,Norway,0
1977,f,J,Austria,Portugal,0
1977,f,J,Austria,Spain,1
1977,f,J,Austria,Sweden,0
1977,f,J,Austria,Switzerland,10
1977,f,J,Austria,The Netherlands,0
1977,f,J,Austria,United Kingdom,12
1977,f,J,Belgium,Austria,0
1977,f,J,Belgium,Belgium,0
1977,f,J,Belgium,Finland,0
1977,f,J,Belgium,France,4
1977,f,J,Belgium,Germany,0
1977,f,J,Belgium,Greece,6
1977,f,J,Belgium,Ireland,3
1977,f,J,Belgium,Israel,1
1977,f,J,Belgium,Italy,0
1977,f,J,Belgium,Luxembourg,0
1977,f,J,Belgium,Monaco,2
1977,f,J,Belgium,Norway,5
1977,f,J,Belgium,Portugal,0
1977,f,J,Belgium,Spain,7
1977,f,J,Belgium,Sweden,0
1977,f,J,Belgium,Switzerland,8
1977,f,J,Belgium,The Netherlands,10
1977,f,J,Belgium,United Kingdom,12
1977,f,J,Finland,Austria,1
1977,f,J,Finland,Belgium,3
1977,f,J,Finland,Finland,0
1977,f,J,Finland,France,12
1977,f,J,Finland,Germany,0
1977,f,J,Finland,Greece,6
1977,f,J,Finland,Ireland,0
1977,f,J,Finland,Israel,0
1977,f,J,Finland,Italy,2
1977,f,J,Finland,Luxembourg,8
1977,f,J,Finland,Monaco,5
1977,f,J,Finland,Norway,0
1977,f,J,Finland,Portugal,0
1977,f,J,Finland,Spain,7
1977,f,J,Finland,Sweden,0
1977,f,J,Finland,Switzerland,10
1977,f,J,Finland,The Netherlands,0
